2022-02-25 10:38:55 ERROR business-4-3 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:38:55 ERROR business-4-4 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:38:55 ERROR business-4-1 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:38:58 ERROR business-4-5 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:38:58 ERROR business-4-6 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:38:58 ERROR business-4-3 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:01 ERROR business-4-4 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:01 ERROR business-4-1 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:01 ERROR business-4-8 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:04 ERROR business-4-2 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:04 ERROR business-4-9 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:04 ERROR business-4-10 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:07 ERROR business-4-6 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:07 ERROR business-4-3 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
