2022-02-22 07:53:50 ERROR business-4-7 c.w.a.s.h.ServerProcessHandler /192.168.2.205:48241 -> [异常]原因：远程主机强迫关闭了一个现有的连接。
2022-02-22 07:53:50 INFO  business-4-3 c.w.a.s.h.ServerProcessHandler /192.168.2.205:48241 !- [断开连接]
2022-02-22 07:54:02 INFO  business-4-10 c.w.a.s.h.ServerProcessHandler 192.168.2.205:36857 -> [连接成功]
2022-02-22 07:54:02 INFO  worker-3-3 c.w.a.common.Message [decode]type=1042,length=0028,CommonOperation(context=00:06:8E:02:CE:15;)
2022-02-22 07:54:02 INFO  worker-3-3 c.w.a.common.Message [encode]0070;0010;
2022-02-22 07:54:02 INFO  worker-3-3 c.w.a.common.Message [decode]type=1080,length=0091,CommonOperation(context=V2-V1000;192.168.2.205;00:06:8E:02:CE:15;VertX_EVO_V1000;07:53:21 GMT 02/22/2022;)
2022-02-22 07:54:02 INFO  worker-3-3 c.w.a.common.Message [encode]0080;0010;
2022-02-22 07:54:02 INFO  worker-3-3 c.w.a.common.Message [decode]type=1065,length=3954,CommonOperation(context=1060;002447;7;20;7;24;200;17:04:17 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002448;7;20;7;24;200;17:14:17 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002449;7;20;7;24;200;17:24:17 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002450;7;20;7;24;200;17:34:17 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002451;7;20;7;24;200;17:44:17 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002452;7;20;7;24;200;17:54:17 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002453;7;20;7;24;200;18:04:17 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002454;7;20;7;24;200;18:14:17 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002455;7;20;7;24;200;18:24:17 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002456;7;20;7;24;200;18:34:17 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002457;7;20;7;24;200;18:44:17 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002458;7;20;7;24;200;18:54:17 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002459;7;20;7;24;200;19:04:17 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002460;7;20;7;24;200;19:14:18 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002461;7;20;7;24;200;19:24:18 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002462;7;20;7;24;200;19:34:18 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002463;7;20;7;24;200;19:44:18 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002464;7;20;7;24;200;19:54:18 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002465;7;20;7;24;200;20:04:18 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002466;7;20;7;24;200;20:14:18 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002467;7;20;7;24;200;20:24:18 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002468;7;20;7;24;200;20:34:18 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002469;7;20;7;24;200;20:44:18 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002470;7;20;7;24;200;20:54:18 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002471;7;20;7;24;200;21:04:18 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002472;7;20;7;24;200;21:14:18 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002473;7;20;7;24;200;21:24:19 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002474;7;20;7;24;200;21:34:19 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002475;7;20;7;24;200;21:44:19 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002476;7;20;7;24;200;21:54:19 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002477;7;20;7;24;200;22:04:19 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002478;7;20;7;24;200;22:14:19 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002479;7;20;7;24;200;22:24:19 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002480;7;20;7;24;200;22:34:19 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002481;7;20;7;24;200;22:44:19 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002482;7;20;7;24;200;22:54:19 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002483;7;20;7;24;200;23:04:19 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002484;7;20;7;24;200;23:14:19 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002485;7;20;7;24;200;23:24:19 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002486;7;20;7;24;200;23:34:19 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002487;7;20;7;24;200;23:44:20 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002488;7;20;7;24;200;23:54:20 GMT 02/21/2022;00:06:8E:02:CE:15^1060;002489;7;20;7;24;200;00:04:20 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002490;7;20;7;24;200;00:14:20 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002491;7;20;7;24;200;00:24:20 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002492;7;20;7;24;200;00:34:20 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002493;7;20;7;24;200;00:44:20 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002494;7;20;7;24;200;00:54:20 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002495;7;20;7;24;200;01:04:20 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002496;7;20;7;24;200;01:14:20 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002497;7;20;7;24;200;01:24:20 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002498;7;20;7;24;200;01:34:20 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002499;7;20;7;24;200;01:44:20 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002500;7;20;7;24;200;01:54:20 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002501;7;20;7;24;200;02:04:20 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002502;7;20;7;24;200;02:14:21 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002503;7;20;7;24;200;02:24:21 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002504;7;20;7;24;200;02:34:21 GMT 02/22/2022;00:06:8E:02:CE:15^)
2022-02-22 07:54:02 INFO  worker-3-3 c.w.a.common.Message [encode]0067;0010;
2022-02-22 07:54:02 INFO  worker-3-3 c.w.a.common.Message [decode]type=1065,length=2118,CommonOperation(context=1060;002505;7;20;7;24;200;02:44:21 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002506;7;20;7;24;200;02:54:21 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002507;7;20;7;24;200;03:04:21 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002508;7;20;7;24;200;03:14:21 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002509;7;20;7;24;200;03:24:21 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002510;7;20;7;24;200;03:34:21 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002511;7;20;7;24;200;03:44:21 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002512;7;20;7;24;200;03:54:21 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002513;7;20;7;24;200;04:04:22 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002514;7;20;7;24;200;04:14:22 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002515;7;20;7;24;200;04:24:22 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002516;7;20;7;24;200;04:34:22 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002517;7;20;7;24;200;04:44:22 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002518;7;20;7;24;200;04:54:22 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002519;7;20;7;24;200;05:04:22 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002520;7;20;7;24;200;05:14:22 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002521;7;20;7;24;200;05:24:22 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002522;7;20;7;24;200;05:34:22 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002523;7;20;7;24;200;05:44:22 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002524;7;20;7;24;200;05:54:22 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002525;7;20;7;24;200;06:04:23 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002526;7;20;7;24;200;06:14:23 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002527;7;20;7;24;200;06:24:23 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002528;7;20;7;24;200;06:34:23 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002529;7;20;7;24;200;06:44:23 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002530;7;20;7;24;200;06:54:23 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002531;7;20;7;24;200;07:04:23 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002532;7;20;7;24;200;07:14:23 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002533;7;20;7;24;200;07:24:23 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002534;7;20;7;24;200;07:34:23 GMT 02/22/2022;00:06:8E:02:CE:15^1060;002535;7;20;7;24;200;07:44:23 GMT 02/22/2022;00:06:8E:02:CE:15^)
2022-02-22 07:54:02 INFO  worker-3-3 c.w.a.common.Message [encode]0067;0010;
2022-02-22 07:54:10 INFO  worker-3-3 c.w.a.common.Message [decode]type=1080,length=0091,CommonOperation(context=V2-V1000;192.168.2.205;00:06:8E:02:CE:15;VertX_EVO_V1000;07:53:41 GMT 02/22/2022;)
